street-custodian	bbox
114	[-2.70,51.27,-2.28,51.44]
116	[-2.71,51.40,-2.51,51.54]
119	[-2.67,51.42,-2.26,51.67]
121	[-3.00,51.29,-2.60,51.50]
230	[-0.51,51.86,-0.35,51.93]
235	[-0.65,52.06,-0.26,52.32]
240	[-0.70,51.81,-0.15,52.19]
335	[-0.83,51.33,-0.63,51.47]
340	[-1.58,51.33,-0.98,51.56]
345	[-1.05,51.41,-0.93,51.49]
350	[-0.66,51.47,-0.50,51.54]
355	[-0.85,51.38,-0.52,51.58]
360	[-1.01,51.35,-0.79,51.56]
405	[-1.14,51.72,-0.55,52.07]
410	[-0.70,51.49,-0.48,51.63]
415	[-0.76,51.59,-0.51,51.77]
425	[-0.95,51.55,-0.67,51.78]
435	[-0.87,51.97,-0.61,52.20]
505	[0.07,52.16,0.18,52.24]
510	[0.05,52.16,0.50,52.51]
515	[-0.20,52.39,0.23,52.74]
520	[-0.50,52.16,0.05,52.58]
530	[-0.23,52.01,0.41,52.35]
540	[-0.49,52.51,-0.01,52.67]
650	[-2.83,53.31,-2.60,53.40]
655	[-2.70,53.33,-2.43,53.48]
660	[-2.75,52.95,-1.98,53.38]
665	[-3.09,52.98,-2.35,53.34]
724	[-1.37,54.63,-1.16,54.73]
728	[-1.20,54.50,-0.79,54.64]
734	[-1.28,54.50,-1.14,54.59]
738	[-1.45,54.46,-1.16,54.64]
835	[-6.36,49.89,-6.27,49.97]
840	[-5.75,49.96,-4.17,50.93]
905	[-3.58,54.49,-2.99,54.95]
910	[-3.27,54.05,-3.15,54.21]
915	[-3.12,54.78,-2.49,55.16]
920	[-3.64,54.39,-3.17,54.60]
925	[-3.08,54.40,-2.20,54.85]
930	[-3.17,54.39,-2.69,54.48]
1005	[-1.61,52.93,-1.31,53.13]
1010	[-1.38,53.08,-1.18,53.31]
1015	[-1.48,53.21,-1.30,53.30]
1025	[-1.48,52.87,-1.24,53.00]
1030	[-2.03,53.20,-1.66,53.52]
1035	[-1.58,53.11,-1.29,53.34]
1040	[-1.75,52.70,-1.32,52.95]
1045	[-1.90,52.87,-1.50,53.39]
1055	[-1.56,52.86,-1.39,52.97]
1105	[-3.58,50.61,-2.89,50.91]
