local-authority-discovery	local-authority
WSX-UB	local-authority-eng:ADD
CMA-UB	local-authority-eng:ALB
DBY-UB	local-authority-eng:AMV
WSX-UC	local-authority-eng:ARD
KEN-UB	local-authority-eng:ASB
NTT-UB	local-authority-eng:ASD
BKM-UB	local-authority-eng:AYV
HAM-UB	local-authority-eng:BAA
ESS-UB	local-authority-eng:BAS
BBD	local-authority-eng:BBD
SFK-UB	local-authority-eng:BBG
BDF	local-authority-eng:BDF
BDG	local-authority-eng:BDG
BEN	local-authority-eng:BEN
BEX	local-authority-eng:BEX
CMA-UC	local-authority-eng:BIF
BIR	local-authority-eng:BIR
BKM	local-authority-eng:BKM
LEC-UB	local-authority-eng:BLD
NTT-UC	local-authority-eng:BLW
BMH	local-authority-eng:BMH
BAS	local-authority-eng:BNE
BRC	local-authority-eng:BNF
BNH	local-authority-eng:BNH
BNS	local-authority-eng:BNS
BNE	local-authority-eng:BNT
LIN-UB	local-authority-eng:BOB
NFK-UE	local-authority-eng:BOC
DBY-UC	local-authority-eng:BOD
BOL	local-authority-eng:BOL
BPL	local-authority-eng:BPL
BRD	local-authority-eng:BRD
NFK-UB	local-authority-eng:BRL
WOR-UB	local-authority-eng:BRM
NFK-UC	local-authority-eng:BRO
ESS-UC	local-authority-eng:BRT
BRY	local-authority-eng:BRY
BST	local-authority-eng:BST
ESS-UD	local-authority-eng:BTW
LAN-UD	local-authority-eng:BUB
BUR	local-authority-eng:BUR
HRT-UB	local-authority-eng:BXB
NTT-UD	local-authority-eng:BXT
CAM	local-authority-eng:CAM
ESS-UE	local-authority-eng:CAP
LEC-UC	local-authority-eng:CAW
CBF	local-authority-eng:CBF
NTH-UB	local-authority-eng:CBY
CAM-UB	local-authority-eng:CCC
STS-UB	local-authority-eng:CCH
CHE	local-authority-eng:CEA
ESS-UF	local-authority-eng:CHC
LIN-UD	local-authority-eng:CIO
CLD	local-authority-eng:CLD
LAN-UE	local-authority-eng:CLY
CMA	local-authority-eng:CMA
CMD	local-authority-eng:CMD
CMA-UE	local-authority-eng:COB
CON	local-authority-eng:CON
COV	local-authority-eng:COV
DOR-UC	local-authority-eng:CRC
NYK-UB	local-authority-eng:CRD
CMA-UD	local-authority-eng:CRL
OXF-UB	local-authority-eng:CWL
WSX-UE	local-authority-eng:CRW
CRY	local-authority-eng:CRY
DBY-UD	local-authority-eng:CSF
WSX-UD	local-authority-eng:CHS
ESS-UG	local-authority-eng:CST
KEN-UC	local-authority-eng:CTB
BKM-UC	local-authority-eng:CTN
GLS-UB	local-authority-eng:CHE
GLS-UC	local-authority-eng:CWD
CHW	local-authority-eng:CWE
HRT-UC	local-authority-eng:DAB
NTH-UC	local-authority-eng:DAD
DAL	local-authority-eng:DAL
DBY	local-authority-eng:DBY
DBY-UF	local-authority-eng:DED
DER	local-authority-eng:DER
DEV	local-authority-eng:DEV
KEN-UD	local-authority-eng:DFD
DNC	local-authority-eng:DNC
DOR	local-authority-eng:DOR
DUD	local-authority-eng:DUD
DUR	local-authority-eng:DUR
KEN-UE	local-authority-eng:DVR
CAM-UC	local-authority-eng:EAC
EAL	local-authority-eng:EAL
NTH-UD	local-authority-eng:EAN
STS-UC	local-authority-eng:EAS
ESX-UC	local-authority-eng:EBO
CMA-UF	local-authority-eng:EDD
DEV-UB	local-authority-eng:EDE
DOR-UD	local-authority-eng:EDO
HAM-UC	local-authority-eng:EHA
HRT-UD	local-authority-eng:EHE
SRY-UB	local-authority-eng:ELB
HAM-UD	local-authority-eng:ELG
LIN-UC	local-authority-eng:ELI
ENF	local-authority-eng:ENF
SRY-UC	local-authority-eng:EPA
ESS-UH	local-authority-eng:EPF
DBY-UG	local-authority-eng:ERB
ERY	local-authority-eng:ERY
ESS	local-authority-eng:ESS
ESX	local-authority-eng:ESX
DEV-UC	local-authority-eng:EXC
HAM-UE	local-authority-eng:FAB
CAM-UD	local-authority-eng:FLD
SFK-UC	local-authority-eng:FOH
GLS-UD	local-authority-eng:FOO
LAN-UF	local-authority-eng:FYB
GAT	local-authority-eng:GAT
NTT-UE	local-authority-eng:GEB
GLA	local-authority-eng:GLA
GLS-UE	local-authority-eng:GLC
GLS	local-authority-eng:GLS
HAM-UF	local-authority-eng:GOB
KEN-UG	local-authority-eng:GRB
GRE	local-authority-eng:GRE
NFK-UD	local-authority-eng:GRY
SRY-UD	local-authority-eng:GUB
ESS-UJ	local-authority-eng:HAC
HAL	local-authority-eng:HAL
HAM	local-authority-eng:HAM
HAV	local-authority-eng:HAV
LEC-UD	local-authority-eng:HBG
NYK-UC	local-authority-eng:HBT
HCK	local-authority-eng:HCK
HRT-UE	local-authority-eng:HEB
HEF	local-authority-eng:HEF
NYK-UD	local-authority-eng:HGT
LEC-UE	local-authority-eng:HIA
HIL	local-authority-eng:HIL
DBY-UH	local-authority-eng:HIP
HMF	local-authority-eng:HMF
HNS	local-authority-eng:HNS
WSX-UF	local-authority-eng:HOD
HPL	local-authority-eng:HPL
HAM-UG	local-authority-eng:HAR
HRT	local-authority-eng:HFS
HRW	local-authority-eng:HRW
HRY	local-authority-eng:HRY
ESX-UD	local-authority-eng:HST
CAM-UE	local-authority-eng:HUD
HAM-UH	local-authority-eng:HVT
LAN-UG	local-authority-eng:HYB
IOS	local-authority-eng:IOS
IOW	local-authority-eng:IOW
SFK-UD	local-authority-eng:IPB
ISL	local-authority-eng:ISL
NTH-UE	local-authority-eng:KEB
KEC	local-authority-eng:KEC
KEN	local-authority-eng:KEN
KHL	local-authority-eng:KHL
KIR	local-authority-eng:KIR
KTT	local-authority-eng:KTT
KWL	local-authority-eng:KWL
LAN-UH	local-authority-eng:LAC
LAN	local-authority-eng:LAN
LBH	local-authority-eng:LBH
LCE	local-authority-eng:LCE
LDS	local-authority-eng:LDS
LEC	local-authority-eng:LEC
ESX-UF	local-authority-eng:LED
LEW	local-authority-eng:LEW
STS-UD	local-authority-eng:LID
LIN	local-authority-eng:LIN
LIV	local-authority-eng:LIV
LND	local-authority-eng:LND
LUT	local-authority-eng:LUT
